age,income,employment_years,credit_score,loan_amount,debt_to_income,existing_loans,home_ownership,loan_purpose,Default
59,25429.56,2.8,725.0,8420.64,0.387,1,RENT,business,0
50,40603.12,4.0,617.0,23968.25,0.669,1,RENT,home_improvement,0
65,45787.22,2.0,706.0,15001.66,0.324,1,OWN,business,0
43,76142.44,6.4,850.0,14925.6,0.256,2,RENT,education,0
47,61872.37,,642.0,12376.84,0.183,1,OWN,medical,0
30,19739.2,,681.0,16241.53,0.868,1,MORTGAGE,medical,0
45,61481.68,7.0,591.0,21600.79,0.362,1,MORTGAGE,debt_consolidation,1
33,47298.35,5.2,665.0,8062.96,0.193,1,OWN,debt_consolidation,0
36,41461.56,5.1,687.0,9735.07,0.256,1,OWN,home_improvement,0
61,67233.53,,666.0,12570.19,0.107,3,RENT,education,1
54,75619.99,0.1,568.0,4233.03,-0.0,0,RENT,debt_consolidation,0
57,73625.6,6.0,667.0,8445.94,0.12,2,OWN,medical,0
42,38215.65,2.4,767.0,11190.23,0.208,1,RENT,debt_consolidation,0
37,48815.75,14.3,686.0,21995.11,0.492,3,MORTGAGE,debt_consolidation,0
43,61625.27,,727.0,17100.49,0.321,0,OWN,business,1
56,74510.9,4.4,631.0,16548.72,0.238,0,RENT,debt_consolidation,0
69,45416.52,1.5,710.0,21807.18,0.424,1,OWN,home_improvement,0
29,51286.82,1.1,672.0,13901.03,0.34,0,RENT,medical,1
22,32873.3,2.1,574.0,18123.72,0.653,1,OWN,home_improvement,1
52,31075.87,3.2,675.0,14174.23,0.463,0,MORTGAGE,home_improvement,0
42,71250.52,1.8,571.0,17122.9,0.266,0,OWN,education,0
63,82124.8,3.6,599.0,10337.93,0.136,0,RENT,business,0
33,53559.8,0.9,665.0,1000.0,0.045,3,MORTGAGE,home_improvement,0
28,75070.66,19.0,674.0,13925.77,0.18,1,RENT,education,0
21,62232.72,0.6,555.0,26381.99,0.422,0,MORTGAGE,medical,0
37,42097.6,13.4,734.0,22409.72,0.578,0,OWN,medical,1
32,62227.91,12.2,696.0,22723.18,0.482,1,OWN,education,0
24,85760.73,3.7,594.0,24889.05,0.22,0,MORTGAGE,home_improvement,1
33,54283.48,6.5,527.0,15709.26,0.284,1,MORTGAGE,home_improvement,0
51,86292.87,2.9,638.0,16578.53,0.133,0,RENT,business,0
61,15000.0,5.0,614.0,10058.78,0.75,0,RENT,business,0
27,71438.05,2.1,659.0,12471.42,0.145,1,MORTGAGE,medical,0
43,56740.94,1.8,621.0,19926.17,0.279,0,RENT,business,0
44,49019.85,4.3,489.0,24631.08,0.534,1,OWN,education,1
25,56835.22,3.4,619.0,13884.43,0.332,1,MORTGAGE,medical,1
25,15248.62,4.3,626.0,11398.49,0.781,0,OWN,home_improvement,1
37,50606.56,1.7,701.0,15004.22,0.307,2,MORTGAGE,medical,0
50,62142.25,2.3,594.0,19809.65,0.339,1,MORTGAGE,debt_consolidation,1
29,84557.88,0.4,784.0,3449.16,0.112,0,MORTGAGE,medical,0
26,44634.6,0.3,497.0,1000.0,-0.021,1,MORTGAGE,business,0
45,38830.13,1.5,755.0,10595.71,0.267,2,OWN,education,0
39,44964.86,0.4,632.0,5234.3,0.094,1,OWN,home_improvement,0
36,73308.04,0.5,719.0,10934.88,0.091,0,OWN,home_improvement,0
41,61575.02,8.4,656.0,13817.76,0.208,2,MORTGAGE,business,0
22,44404.8,0.2,741.0,11374.01,0.312,0,MORTGAGE,business,0
30,65265.35,5.4,619.0,26619.74,0.436,0,RENT,business,0
36,56941.55,1.6,562.0,17613.96,0.342,3,RENT,debt_consolidation,1
57,74372.9,10.3,764.0,17403.79,0.241,1,MORTGAGE,education,0
35,40958.94,3.3,641.0,19977.66,0.514,2,OWN,debt_consolidation,0
33,48446.76,1.8,668.0,5889.34,0.082,2,RENT,business,0
33,47157.84,3.6,749.0,23312.89,0.479,2,MORTGAGE,education,1
52,25729.7,2.4,567.0,14393.89,0.569,2,MORTGAGE,business,1
65,60922.41,4.2,698.0,20363.84,0.348,0,MORTGAGE,education,0
67,60221.11,0.6,603.0,6425.14,0.123,0,MORTGAGE,home_improvement,0
66,55102.27,29.0,639.0,2569.93,0.04,3,RENT,debt_consolidation,1
28,50308.26,2.8,656.0,21543.12,0.409,1,MORTGAGE,business,0
63,26692.59,2.1,530.0,18011.28,0.833,0,OWN,business,0
38,46587.09,6.2,588.0,7783.59,0.212,1,MORTGAGE,medical,1
56,48145.71,2.3,758.0,8042.7,0.188,2,RENT,home_improvement,0
46,38954.45,9.0,721.0,24003.48,0.605,2,RENT,business,0
30,51774.29,3.0,645.0,5484.7,0.083,2,OWN,debt_consolidation,0
51,63081.02,6.4,669.0,28141.38,0.44,0,RENT,home_improvement,0
53,92723.72,0.6,626.0,7795.03,0.099,0,MORTGAGE,business,0
49,58491.56,9.4,759.0,20107.14,0.25,0,MORTGAGE,debt_consolidation,0
25,60151.01,6.7,634.0,12371.05,0.127,2,MORTGAGE,medical,1
33,53511.08,1.2,669.0,19825.5,0.339,2,MORTGAGE,medical,0
21,16624.58,0.8,742.0,10647.09,0.651,4,OWN,debt_consolidation,1
43,54469.72,1.9,588.0,13697.66,0.24,0,MORTGAGE,home_improvement,0
60,56204.6,18.7,775.0,15327.35,0.347,2,MORTGAGE,debt_consolidation,0
23,104264.84,1.5,,6982.5,-0.007,2,MORTGAGE,debt_consolidation,0
23,51152.78,3.0,780.0,20926.59,0.372,1,OWN,medical,0
27,61030.95,0.2,620.0,10894.29,0.255,1,OWN,medical,1
56,54305.76,2.5,631.0,13171.2,0.249,1,MORTGAGE,medical,0
55,31626.44,4.2,499.0,7045.21,0.267,0,RENT,business,1
35,77856.46,15.3,614.0,1000.0,0.115,0,MORTGAGE,business,0
60,70038.66,3.6,567.0,13471.78,0.158,3,MORTGAGE,education,1
23,70820.64,8.5,601.0,34300.92,0.479,1,OWN,business,1
49,36812.25,4.0,639.0,21276.83,0.564,1,MORTGAGE,home_improvement,1
50,83055.89,0.2,,14845.92,0.081,3,MORTGAGE,home_improvement,0
59,26962.98,1.9,667.0,12896.87,0.463,1,MORTGAGE,medical,0
38,66737.14,,675.0,15179.73,0.272,0,OWN,debt_consolidation,0
31,98809.11,15.0,562.0,19376.95,0.223,0,MORTGAGE,medical,1
63,35189.27,9.8,580.0,5553.5,0.189,2,OWN,debt_consolidation,0
69,43674.05,1.3,794.0,23914.57,0.529,0,RENT,medical,0
58,56993.03,1.2,591.0,20723.05,0.331,2,MORTGAGE,medical,1
60,44930.49,1.1,782.0,20745.49,0.525,0,MORTGAGE,home_improvement,0
21,23986.73,12.8,631.0,18507.81,0.747,4,MORTGAGE,debt_consolidation,1
49,56371.26,9.6,650.0,15156.93,0.284,0,RENT,education,0
30,33753.93,7.5,736.0,20382.89,0.612,1,RENT,education,0
48,64471.85,2.5,752.0,19734.51,0.379,3,MORTGAGE,medical,0
51,36611.52,3.5,641.0,12167.67,0.381,2,RENT,medical,1
39,85998.69,3.1,619.0,10411.19,0.056,1,MORTGAGE,home_improvement,0
23,39334.93,1.5,646.0,15814.85,0.343,0,MORTGAGE,debt_consolidation,1
56,48558.77,3.5,677.0,27392.16,0.593,2,MORTGAGE,medical,0
63,71270.34,0.2,721.0,5087.14,0.068,2,RENT,education,0
35,30382.71,0.7,650.0,3259.8,0.085,1,MORTGAGE,debt_consolidation,1
53,59549.2,10.9,700.0,16318.09,0.325,0,MORTGAGE,medical,0
61,81142.86,7.0,781.0,15407.1,0.199,0,OWN,debt_consolidation,0
63,22850.34,,681.0,16386.73,0.72,0,OWN,home_improvement,1
65,58692.68,3.6,675.0,16951.63,0.328,0,OWN,education,0
46,60197.66,2.3,528.0,13214.38,0.201,0,RENT,debt_consolidation,0
36,70636.46,6.8,440.0,26918.91,0.46,1,MORTGAGE,education,1
56,30260.99,7.7,681.0,2192.77,0.033,1,MORTGAGE,medical,0
53,28590.87,7.2,642.0,8372.02,0.326,1,MORTGAGE,business,0
40,65438.83,6.4,609.0,14173.96,0.288,1,OWN,debt_consolidation,0
33,60939.69,1.1,669.0,1854.49,-0.038,3,MORTGAGE,education,0
53,60009.86,2.1,645.0,13593.16,0.209,2,RENT,debt_consolidation,0
25,61928.96,3.2,740.0,28291.76,0.514,3,MORTGAGE,medical,1
57,41399.51,2.0,657.0,15167.09,0.424,3,OWN,medical,0
34,59645.07,7.0,590.0,16845.61,0.274,3,MORTGAGE,education,0
47,60861.45,2.0,729.0,4918.68,0.044,1,MORTGAGE,home_improvement,0
43,40712.97,0.7,633.0,10069.11,0.295,0,MORTGAGE,debt_consolidation,0
34,92315.49,2.5,692.0,11998.43,0.189,0,MORTGAGE,debt_consolidation,0
60,64476.66,19.5,612.0,12458.28,0.135,1,MORTGAGE,medical,0
24,31173.93,1.3,598.0,25253.15,0.75,2,RENT,debt_consolidation,0
59,68131.07,4.7,657.0,19461.53,0.297,0,MORTGAGE,education,0
39,35506.37,2.8,651.0,6108.34,0.204,5,OWN,business,1
67,70741.69,0.4,688.0,16972.04,0.225,3,RENT,medical,1
24,78171.91,3.3,629.0,18985.77,0.277,3,RENT,business,0
50,38586.35,6.1,503.0,24121.19,0.59,1,MORTGAGE,debt_consolidation,0
39,74267.52,3.6,615.0,27644.33,0.266,0,RENT,home_improvement,0
51,63255.62,10.3,714.0,6879.25,0.088,0,OWN,education,0
51,71441.2,1.7,626.0,8513.14,0.122,1,MORTGAGE,debt_consolidation,0
29,92935.86,0.5,630.0,4939.38,0.039,1,MORTGAGE,education,0
33,50092.24,13.8,729.0,13127.84,0.204,1,MORTGAGE,debt_consolidation,0
34,39925.28,2.4,593.0,18730.87,0.378,0,OWN,debt_consolidation,0
66,37209.71,4.3,527.0,22898.68,0.59,2,RENT,debt_consolidation,1
30,38683.79,7.9,637.0,14392.39,0.417,0,RENT,medical,0
68,53457.97,2.0,611.0,12441.22,0.296,0,RENT,business,0
51,61823.04,6.3,573.0,16214.06,0.322,2,RENT,home_improvement,0
57,60533.82,0.7,636.0,8318.86,0.097,0,MORTGAGE,business,0
43,71543.66,1.7,689.0,31716.31,0.386,1,OWN,business,1
47,55260.04,0.8,649.0,2138.71,0.064,0,RENT,education,0
26,84070.68,8.3,675.0,16477.92,0.228,1,RENT,medical,0
46,49706.86,1.3,795.0,31188.85,0.647,0,OWN,medical,1
22,109403.38,6.3,623.0,15054.4,0.037,2,OWN,debt_consolidation,0
65,67513.35,14.3,672.0,13479.69,0.156,3,RENT,business,0
33,37856.85,3.8,609.0,12140.44,0.319,1,MORTGAGE,home_improvement,0
39,33582.15,3.9,582.0,13556.87,0.428,1,RENT,education,1
21,64649.45,3.1,603.0,25982.79,0.44,0,RENT,medical,0
60,50530.74,2.0,612.0,1000.0,0.027,1,RENT,debt_consolidation,0
52,69280.01,3.2,679.0,27267.47,0.41,2,OWN,home_improvement,0
42,64464.75,4.6,838.0,3608.34,0.06,0,RENT,business,0
68,53543.42,21.3,593.0,12866.78,0.275,0,RENT,home_improvement,0
49,38064.13,13.9,617.0,11566.04,0.32,2,RENT,medical,0
22,24703.06,9.9,645.0,19708.43,0.801,0,OWN,education,0
60,46069.7,11.0,682.0,2215.01,0.035,1,RENT,business,0
58,72127.98,3.2,671.0,18697.38,0.263,2,RENT,education,1
68,59281.87,5.4,753.0,31194.48,0.55,1,OWN,home_improvement,0
31,30085.22,11.3,456.0,4094.61,0.149,1,RENT,home_improvement,1
37,58463.62,2.5,459.0,16517.65,0.302,3,OWN,debt_consolidation,0
63,62706.35,16.3,610.0,9704.14,0.222,1,RENT,business,0
28,37322.85,2.7,738.0,18407.1,0.506,1,RENT,home_improvement,0
42,58074.5,4.6,,15153.18,0.228,2,OWN,medical,0
24,56164.17,6.2,409.0,9868.1,0.22,0,RENT,medical,1
31,32140.59,15.0,696.0,18902.98,0.52,1,RENT,education,0
28,62155.75,1.4,669.0,29434.78,0.419,3,OWN,medical,0
29,66215.69,6.9,563.0,13472.77,0.22,1,MORTGAGE,home_improvement,0
46,76661.02,3.7,571.0,20758.06,0.297,0,MORTGAGE,medical,0
22,76076.04,,572.0,4653.82,-0.001,2,MORTGAGE,business,0
36,27446.61,7.5,659.0,7348.51,0.249,0,MORTGAGE,education,1
51,36243.5,4.0,600.0,18779.25,0.488,3,MORTGAGE,business,1
26,65300.71,5.4,690.0,26872.93,0.387,3,MORTGAGE,home_improvement,1
41,65275.72,1.9,422.0,17844.91,0.321,0,OWN,home_improvement,1
46,65300.95,3.3,581.0,12495.54,0.227,1,RENT,medical,0
39,132054.63,4.8,560.0,14994.33,0.113,0,RENT,debt_consolidation,0
48,66417.81,2.6,629.0,4996.74,0.048,3,MORTGAGE,debt_consolidation,0
28,77711.31,1.1,607.0,19836.12,0.188,2,MORTGAGE,home_improvement,0
34,74080.04,16.3,714.0,22058.66,0.369,1,OWN,home_improvement,0
44,68027.83,3.6,501.0,11383.28,0.197,1,MORTGAGE,education,0
68,48694.62,6.6,654.0,11239.66,0.195,2,OWN,home_improvement,0
64,70179.38,2.6,695.0,17127.03,0.28,4,OWN,home_improvement,1
57,39543.5,2.2,799.0,11506.24,0.287,0,OWN,education,0
46,50263.63,2.6,611.0,14470.94,0.274,0,OWN,business,1
51,45292.73,2.6,676.0,31797.77,0.724,0,RENT,business,1
52,56637.48,3.9,506.0,13023.79,0.193,0,MORTGAGE,education,0
61,101293.17,3.9,459.0,12133.28,0.103,1,MORTGAGE,education,0
22,17654.7,3.4,718.0,9819.67,0.562,0,MORTGAGE,business,0
45,68725.2,0.7,650.0,20953.54,0.28,0,RENT,business,0
64,22745.68,3.4,744.0,13550.21,0.629,2,MORTGAGE,business,0
22,45561.36,0.9,540.0,9805.02,0.309,1,RENT,business,1
62,76779.01,0.7,692.0,25570.43,0.295,2,RENT,medical,0
21,56285.6,13.5,800.0,26356.82,0.385,2,MORTGAGE,education,0
56,33445.1,4.6,684.0,10196.61,0.205,1,RENT,debt_consolidation,0
32,40693.93,5.4,672.0,1000.0,0.017,0,RENT,medical,0
29,68591.95,2.6,651.0,23060.11,0.303,0,RENT,debt_consolidation,0
56,40392.67,12.0,524.0,9522.96,0.246,0,MORTGAGE,debt_consolidation,0
61,59329.17,,758.0,21325.0,0.366,0,RENT,home_improvement,0
48,55911.44,7.3,601.0,1000.0,-0.062,1,OWN,education,0
58,41967.99,2.3,690.0,22140.78,0.437,1,MORTGAGE,medical,0
53,97878.88,16.1,525.0,5310.62,0.069,7,MORTGAGE,education,0
62,67678.38,8.6,556.0,20846.11,0.315,1,MORTGAGE,business,1
66,15000.0,9.6,765.0,15114.18,0.986,1,OWN,education,0
42,58729.09,0.9,622.0,7368.48,0.043,2,RENT,debt_consolidation,0
45,41764.27,1.6,766.0,11743.71,0.305,5,RENT,business,0
38,72048.67,1.7,644.0,20490.55,0.348,0,OWN,education,1
26,39149.59,1.6,503.0,15847.16,0.419,3,MORTGAGE,education,0
38,52705.27,9.7,721.0,19675.3,0.331,0,RENT,debt_consolidation,0
36,65099.75,0.2,603.0,30811.52,0.476,1,RENT,business,0
35,72315.1,0.4,706.0,2486.07,-0.034,0,MORTGAGE,debt_consolidation,0
68,30994.07,1.6,652.0,27937.7,0.954,0,MORTGAGE,education,0
28,48309.98,1.1,527.0,15834.85,0.332,0,MORTGAGE,medical,0
33,45501.09,1.3,663.0,7809.73,0.083,1,MORTGAGE,medical,0
63,41933.42,8.0,826.0,4357.49,0.089,0,MORTGAGE,home_improvement,0
27,90309.08,4.1,689.0,13487.04,0.173,2,MORTGAGE,medical,1
37,63099.63,0.0,645.0,22373.2,0.338,0,OWN,business,0
52,29782.32,2.8,736.0,13979.61,0.456,0,MORTGAGE,home_improvement,0
42,73357.24,2.6,667.0,27089.24,0.308,0,OWN,business,0
33,97443.12,0.6,667.0,3390.59,0.063,0,RENT,medical,0
67,75649.31,5.6,563.0,14903.29,0.165,1,RENT,medical,0
43,24612.6,6.1,669.0,4980.85,0.095,2,MORTGAGE,education,0
49,45315.32,6.4,733.0,17909.06,0.377,2,MORTGAGE,business,0
42,80338.22,6.5,583.0,22095.1,0.324,1,RENT,debt_consolidation,0
21,40846.61,0.0,764.0,11633.91,0.265,0,RENT,education,0
49,63876.39,15.4,643.0,1000.0,0.103,2,MORTGAGE,business,0
68,70492.68,8.4,579.0,16591.59,0.257,2,MORTGAGE,home_improvement,0
25,36461.39,11.7,730.0,18493.91,0.524,4,RENT,business,0
55,53809.49,0.1,627.0,18234.36,0.332,1,RENT,home_improvement,1
30,15000.0,13.6,711.0,24886.26,1.656,0,MORTGAGE,home_improvement,1
39,34512.25,8.3,627.0,6431.57,0.173,1,RENT,medical,0
57,49948.64,9.1,,20441.73,0.394,1,MORTGAGE,debt_consolidation,1
27,30044.34,0.5,689.0,24540.06,0.843,1,RENT,business,0
66,87648.23,6.7,673.0,1000.0,-0.035,1,RENT,debt_consolidation,0
55,26397.17,16.1,490.0,17557.21,0.611,1,RENT,home_improvement,1
65,46199.11,5.7,560.0,10966.56,0.181,1,RENT,medical,0
33,57614.81,4.2,724.0,14347.82,0.351,0,RENT,debt_consolidation,0
30,83825.47,14.6,639.0,17781.41,0.239,0,RENT,education,0
22,26282.76,2.9,608.0,11102.17,0.438,3,MORTGAGE,home_improvement,1
26,78263.28,4.6,541.0,9594.34,0.07,2,RENT,education,0
28,55204.66,,564.0,15273.22,0.308,1,MORTGAGE,debt_consolidation,0
56,35369.83,13.5,488.0,6302.03,0.172,0,RENT,debt_consolidation,0
45,64242.07,0.4,642.0,6313.4,0.109,0,MORTGAGE,debt_consolidation,0
64,58981.19,3.5,602.0,20434.99,0.298,0,RENT,business,0
67,42995.66,5.8,573.0,5809.65,0.143,1,RENT,home_improvement,0
60,56396.04,7.8,645.0,20330.5,0.339,0,OWN,home_improvement,0
27,47293.73,4.4,679.0,18700.73,0.357,1,OWN,home_improvement,1
66,57270.35,12.0,817.0,1193.55,0.058,0,MORTGAGE,business,0
43,68242.61,14.2,529.0,9579.48,0.063,1,MORTGAGE,debt_consolidation,0
39,86720.34,0.3,743.0,24552.88,0.311,1,MORTGAGE,debt_consolidation,0
66,30243.69,2.6,728.0,7150.68,0.271,2,OWN,education,0
42,97660.67,0.1,588.0,11284.77,0.072,3,MORTGAGE,business,1
33,15958.24,2.0,666.0,18696.49,1.131,4,OWN,medical,1
41,51964.3,3.8,613.0,21267.12,0.398,3,MORTGAGE,business,1
21,66766.34,12.1,665.0,12987.69,0.209,1,MORTGAGE,education,0
39,60619.84,9.4,771.0,10219.92,0.161,1,RENT,education,0
53,42546.01,0.7,698.0,26378.96,0.642,2,RENT,education,1
24,50837.55,0.5,691.0,28911.2,0.657,2,OWN,debt_consolidation,0
62,45139.98,4.4,616.0,22830.86,0.48,1,MORTGAGE,medical,0
23,43212.7,3.8,531.0,15682.55,0.277,0,OWN,education,1
47,71992.04,1.5,633.0,8533.87,0.16,2,MORTGAGE,home_improvement,0
61,62140.31,11.5,747.0,8356.44,0.219,0,RENT,debt_consolidation,0
55,41141.81,13.1,528.0,19180.11,0.486,2,RENT,medical,0
48,72992.0,2.6,566.0,18347.19,0.197,0,RENT,home_improvement,0
26,61145.99,11.1,660.0,26212.79,0.422,2,OWN,medical,0
26,71257.24,2.4,571.0,20203.6,0.228,2,MORTGAGE,medical,0
64,67592.58,6.7,587.0,2975.36,0.076,3,RENT,home_improvement,0
43,38420.1,3.2,616.0,23415.58,0.542,3,OWN,business,1
53,43796.38,0.7,541.0,7015.51,0.145,1,RENT,medical,1
36,69945.87,13.2,572.0,11928.23,0.12,0,RENT,business,0
44,67207.41,3.0,706.0,17001.6,0.259,1,MORTGAGE,medical,0
25,54581.97,6.6,545.0,30965.34,0.549,1,RENT,home_improvement,0
61,57346.55,2.3,522.0,39879.35,0.704,2,MORTGAGE,medical,1
62,80553.3,0.1,600.0,19853.78,0.248,1,MORTGAGE,education,0
33,43168.57,0.5,709.0,13534.43,0.264,1,MORTGAGE,education,1
67,65941.95,3.4,634.0,19276.05,0.324,0,RENT,medical,0
32,50956.15,5.9,613.0,22101.24,0.431,1,OWN,home_improvement,0
25,50646.38,2.0,654.0,12434.66,0.196,1,MORTGAGE,home_improvement,0
57,76975.54,5.9,510.0,29361.69,0.493,1,MORTGAGE,debt_consolidation,1
51,71508.33,6.0,690.0,16840.57,0.259,3,MORTGAGE,home_improvement,0
48,71270.19,6.1,681.0,18981.94,0.259,1,RENT,business,0
48,81109.58,,617.0,20327.39,0.321,0,RENT,medical,1
50,55420.08,12.3,730.0,18372.69,0.424,1,OWN,education,0
38,68639.06,3.4,560.0,21711.52,0.309,2,MORTGAGE,home_improvement,0
64,48794.66,3.0,740.0,10061.97,0.224,1,RENT,education,0
47,61483.33,1.1,662.0,10533.59,0.122,2,RENT,debt_consolidation,0
55,52397.14,1.8,623.0,6198.77,0.111,2,MORTGAGE,medical,0
46,56939.92,0.2,648.0,18516.01,0.315,2,RENT,home_improvement,0
59,66903.14,5.0,641.0,21231.49,0.327,0,RENT,education,1
69,38635.59,1.4,748.0,18662.18,0.5,0,RENT,home_improvement,0
38,96847.75,1.8,564.0,28395.94,0.321,0,RENT,debt_consolidation,0
53,34879.65,7.4,589.0,14955.23,0.441,2,OWN,education,1
45,30716.23,2.0,733.0,20349.93,0.602,0,RENT,education,1
51,78162.22,1.4,602.0,6266.39,0.033,4,RENT,medical,0
57,70833.25,0.9,722.0,11903.2,0.141,0,RENT,medical,1
22,67482.4,7.5,786.0,20564.3,0.291,0,RENT,education,1
53,67566.91,0.7,618.0,21792.82,0.375,0,MORTGAGE,medical,1
59,54755.06,3.0,705.0,12648.26,0.173,1,RENT,education,1
63,37054.91,3.5,558.0,14427.21,0.371,1,OWN,business,1
63,56516.09,5.8,710.0,2857.01,0.098,1,RENT,home_improvement,0
52,41456.77,5.0,,12143.77,0.278,0,RENT,business,0
38,74502.39,8.3,688.0,22123.07,0.32,1,RENT,business,0
37,52058.85,0.2,598.0,19601.64,0.37,0,RENT,home_improvement,0
54,38490.06,1.8,517.0,19005.33,0.507,4,MORTGAGE,education,1
59,48572.28,1.6,690.0,15398.19,0.306,1,OWN,education,0
27,63258.63,0.8,485.0,15056.51,0.271,0,MORTGAGE,medical,0
62,43725.51,1.7,625.0,9717.43,0.145,0,RENT,debt_consolidation,1
55,38555.59,1.9,725.0,20590.63,0.516,1,RENT,education,1
50,59873.74,3.7,665.0,18367.78,0.322,1,RENT,home_improvement,0
32,59899.33,5.4,806.0,18936.15,0.343,1,MORTGAGE,debt_consolidation,0
55,44861.14,2.4,732.0,10791.72,0.315,1,RENT,home_improvement,0
31,45579.23,6.4,598.0,1000.0,0.002,1,OWN,home_improvement,0
64,59641.0,2.0,652.0,23777.22,0.473,0,RENT,home_improvement,1
24,26038.31,1.7,646.0,11169.3,0.396,2,RENT,debt_consolidation,1
45,26850.72,3.9,523.0,8097.79,0.368,0,MORTGAGE,business,1
68,40631.12,0.1,575.0,20547.83,0.547,0,OWN,home_improvement,1
52,50731.06,0.4,605.0,11863.9,0.188,3,MORTGAGE,medical,0
40,61218.15,2.7,487.0,23479.49,0.399,4,MORTGAGE,education,0
51,84507.12,14.3,654.0,19936.05,0.233,3,OWN,education,0
24,72153.19,6.4,630.0,20468.55,0.315,0,RENT,education,0
58,51801.23,0.5,516.0,4072.35,0.067,1,OWN,debt_consolidation,0
67,54619.68,9.4,,24695.55,0.437,2,RENT,medical,0
21,34949.41,,707.0,17090.0,0.557,0,OWN,medical,0
23,54629.74,4.7,668.0,12045.78,0.216,0,OWN,medical,0
57,49226.83,8.6,624.0,16147.11,0.369,0,MORTGAGE,medical,0
42,61454.37,2.6,697.0,1000.0,0.005,3,MORTGAGE,medical,1
37,38455.38,1.3,704.0,18269.22,0.558,1,MORTGAGE,business,0
34,65386.93,3.6,,6765.03,0.07,1,RENT,medical,1
61,85654.78,4.0,584.0,4178.64,0.018,0,RENT,medical,0
55,52824.8,3.9,672.0,2821.13,0.13,0,RENT,debt_consolidation,0
33,63034.23,4.2,746.0,23901.51,0.357,0,MORTGAGE,debt_consolidation,1
55,68802.88,14.9,602.0,9965.89,0.225,0,MORTGAGE,medical,0
63,46975.59,11.6,818.0,27269.82,0.625,1,RENT,business,0
22,59481.85,10.4,608.0,10713.59,0.172,4,RENT,medical,0
67,55251.85,8.1,653.0,1341.14,-0.066,1,OWN,medical,0
33,56953.52,14.4,596.0,6067.8,0.106,3,MORTGAGE,medical,1
36,39539.8,0.5,668.0,24886.49,0.634,1,OWN,home_improvement,1
